detalle_click_ref;categoria_tarjeta;grupo;marca_o_linea;tipo_detalle;origen_dato;filtro_orbit_recomendado;observaciones
CAT_VDA;VDA;Categoría general;VDA;FILTRO_MAESTRO;maestro_productos_activos;categoria_accion = 'VDA' OR categoria = 'VDA' OR linea_comercial = 'VDA';"No hardcodear marcas en tarjeta; obtener marcas/códigos activos desde producto_activos.xlsx o maestro vigente."
CAT_VDG;VDG;Categoría general;VDG;FILTRO_MAESTRO;maestro_productos_activos;categoria_accion = 'VDG' OR categoria = 'VDG' OR linea_comercial = 'VDG';"No hardcodear marcas en tarjeta; obtener marcas/códigos activos desde producto_activos.xlsx o maestro vigente."
CAT_ESPUMANTES;Espumantes;Categoría general;Espumantes;FILTRO_MAESTRO;maestro_productos_activos;categoria_accion = 'Espumantes' OR categoria = 'Espumantes' OR linea_comercial = 'Espumantes';"No hardcodear marcas en tarjeta; obtener marcas/códigos activos desde producto_activos.xlsx o maestro vigente."
CAT_SIDRA;Sidra;Categoría general;Sidra;FILTRO_MAESTRO;maestro_productos_activos;categoria_accion = 'Sidra' OR categoria = 'Sidra' OR linea_comercial = 'Sidra';"No hardcodear marcas en tarjeta; obtener marcas/códigos activos desde producto_activos.xlsx o maestro vigente."
CAT_RTD_DADA_TINTO_VERANO;RTD;Dadá Tinto Verano;Dadá Tinto Verano;PRODUCTO_EXPLICITO;pptx_julio_2026;marca LIKE 'DADÁ%' AND descripcion LIKE '%TINTO%VERANO%';Aplicar 7% según canal/regla.
CAT_RTD_LATAS_GENERAL;RTD (Latas);RTD Latas;Gordons Tonic;PRODUCTO_O_FAMILIA;pptx_julio_2026;"descripcion/marca contiene item; Smirnoff BC debe tomar subregla 15%";"Regla general 5%; BC 15%."
CAT_RTD_LATAS_GENERAL;RTD (Latas);RTD Latas;Smirnoff BC;PRODUCTO_O_FAMILIA;pptx_julio_2026;"descripcion/marca contiene item; Smirnoff BC debe tomar subregla 15%";"Regla general 5%; BC 15%."
CAT_RTD_LATAS_GENERAL;RTD (Latas);RTD Latas;Antares;PRODUCTO_O_FAMILIA;pptx_julio_2026;"descripcion/marca contiene item; Smirnoff BC debe tomar subregla 15%";"Regla general 5%; BC 15%."
CAT_RTD_LATAS_GENERAL;RTD (Latas);Subregla BC;BC 1 pack o más -> 15%;SUBREGLA;pptx_julio_2026;SKU/familia BC;Priorizar por prioridad_motor 55 sobre RTD Latas general.
CAT_SPIRITS_CERVEZA_NO_IMPORTADOS_PREMIUM_ULTRA;Spirits y Cerveza;Regla general;Todos menos importados premium y ultra premium;FILTRO_EXCLUSION;pptx_julio_2026;categoria IN ('SPIRITS','CERVEZA') AND segmento NOT IN ('IMPORTADOS PREMIUM','ULTRA PREMIUM');No aplicar a importados premium ni ultra premium.
CAT_SPIRITS_SMIRNOFF_GORDONS;Spirits;Familia;Familia Smirnoff;FAMILIA;pptx_julio_2026;familia = 'Smirnoff' OR marca LIKE '%Smirnoff%';Usado en VTK/TDB, Planes AASS, Petit Mayoristas y 5+1.
CAT_SPIRITS_SMIRNOFF_GORDONS;Spirits;Familia;Familia Gordons;FAMILIA;pptx_julio_2026;familia = 'Gordons' OR marca LIKE '%Gordons%';Usado en VTK/TDB, Planes AASS, Petit Mayoristas y 5+1.
CAT_INNOVACIONES_JULIO_2026;Innovaciones;Innovaciones julio 2026;Cazador;PRODUCTO_EXPLICITO;pptx_julio_2026;descripcion/marca coincide con 'Cazador';Lista cerrada del PPTX julio.
CAT_INNOVACIONES_JULIO_2026;Innovaciones;Innovaciones julio 2026;Bautismo Cabernet;PRODUCTO_EXPLICITO;pptx_julio_2026;descripcion/marca coincide con 'Bautismo Cabernet';Lista cerrada del PPTX julio.
CAT_INNOVACIONES_JULIO_2026;Innovaciones;Innovaciones julio 2026;Alma Mora Low;PRODUCTO_EXPLICITO;pptx_julio_2026;descripcion/marca coincide con 'Alma Mora Low';Lista cerrada del PPTX julio.
CAT_INNOVACIONES_JULIO_2026;Innovaciones;Innovaciones julio 2026;Alaris Dulce Cosecha Tinto;PRODUCTO_EXPLICITO;pptx_julio_2026;descripcion/marca coincide con 'Alaris Dulce Cosecha Tinto';Lista cerrada del PPTX julio.
CAT_INNOVACIONES_JULIO_2026;Innovaciones;Innovaciones julio 2026;Sidra Dadá;PRODUCTO_EXPLICITO;pptx_julio_2026;descripcion/marca coincide con 'Sidra Dadá';Lista cerrada del PPTX julio.
